Round,Player Move,AI move,Result
1,1,1,0
2,2,2,0
3,3,1,1
4,1,2,1
5,2,1,-1
6,3,2,-1
7,1,2,1
8,2,3,1
9,3,2,-1
10,1,2,1
11,2,3,1
12,3,1,1
13,1,2,1
14,2,3,1
15,3,1,1
16,1,2,1
17,2,3,1
18,3,1,1
19,1,2,1
20,2,3,1
21,3,1,1
22,1,2,1
23,2,3,1
24,3,1,1
25,1,2,1
26,2,3,1
27,3,1,1
28,1,2,1
29,2,3,1
30,3,1,1
31,1,2,1
32,2,3,1
33,3,1,1
34,1,2,1
35,2,3,1
36,3,1,1
37,1,2,1
38,2,3,1
39,3,1,1
40,1,2,1
41,2,3,1
42,3,1,1
43,1,2,1
44,2,3,1
45,3,1,1
46,1,2,1
47,2,3,1
48,3,1,1
49,1,2,1
50,2,3,1
51,3,1,1
52,1,2,1
53,2,3,1
54,3,1,1
55,1,2,1
56,2,3,1
57,3,1,1
58,1,2,1
59,2,3,1
60,3,1,1
61,1,2,1
62,2,3,1
63,3,1,1
64,1,2,1
65,2,3,1
66,3,1,1
67,1,2,1
68,2,3,1
69,3,1,1
70,1,2,1
71,2,3,1
72,3,1,1
73,1,2,1
74,2,3,1
75,3,1,1
76,1,2,1
77,2,3,1
78,3,1,1
79,1,2,1
80,2,3,1
81,3,1,1
82,1,2,1
83,2,3,1
84,3,1,1
85,1,2,1
86,2,3,1
87,3,1,1
88,1,2,1
89,2,3,1
90,3,1,1
91,1,2,1
92,2,3,1
93,3,1,1
94,1,2,1
95,2,3,1
96,3,1,1
97,1,2,1
98,2,3,1
99,3,1,1
100,1,2,1
Wins,95
Loses,3
Ties,2
